"Search Term","Sell Through Rate","Sold Count"
"1973 Triumph Spitfire climate control","0%","0"
"1984 Lincoln Continental climate control","0%","0"
"1984 Volvo 240 climate control","0%","0"
"1985 BMW 7 Series climate control","0%","0"
"1985 Ford F-150 climate control","77%","40"
"1985 Toyota MR2 climate control","10%","2"
"1986 Chevrolet S-10 Blazer climate control","93%","13"
"1986 Pontiac Fiero climate control","12%","2"
"1987 Jaguar XJS climate control","11%","2"
"1988 Ford E-150 Econoline climate control","30%","3"
"1989 Ford F-150 climate control","28%","48"
"1989 Jaguar XJS climate control","9%","1"
"1989 Nissan Pulsar NX climate control","33%","1"
"1989 Nissan Sentra climate control","18%","3"
"1990 Acura Integra climate control","37%","7"
"1990 Cadillac Eldorado climate control","22%","5"
"1990 Chevrolet Celebrity climate control","0%","0"
"1990 Volkswagen Vanagon climate control","0%","0"
"1991 Acura Legend climate control","41%","11"
"1991 Cadillac Deville climate control","130%","39"
"1991 Chrysler LeBaron climate control","14%","2"
"1991 Dodge Dakota climate control","38%","30"
"1991 Honda Accord climate control","77%","41"
"1991 Infiniti M30 climate control","0%","0"
"1991 Oldsmobile Cutlass Ciera climate control","40%","2"
"1992 Acura Integra climate control","35%","7"
"1992 Chevrolet Camaro climate control","50%","10"
"1992 Toyota Paseo climate control","11%","1"
"1993 Buick Park Avenue climate control","38%","8"
"1993 Infiniti G20 climate control","75%","3"
"1993 Mercury Grand Marquis climate control","14%","1"
"1993 Volkswagen Eurovan climate control","19%","3"
"1994 Buick Park Avenue climate control","42%","11"
"1994 Cadillac Deville climate control","44%","7"
"1994 Chevrolet Astro climate control","23%","6"
"1994 Chevrolet G20 climate control","53%","19"
"1994 Ford F-150 climate control","77%","181"
"1994 Ford Mustang climate control","12%","22"
"1994 Honda Accord climate control","55%","29"
"1994 Honda Passport climate control","40%","2"
"1994 Lincoln Town Car climate control","100%","14"
"1995 Buick LeSabre climate control","68%","32"
"1995 Chevrolet Blazer climate control","89%","123"
"1995 Ford Escort climate control","25%","1"
"1995 Ford Explorer climate control","36%","90"
"1995 Ford Windstar climate control","12%","6"
"1995 Oldsmobile Aurora climate control","13%","1"
"1996 Chevrolet Blazer climate control","90%","122"
"1996 Chevrolet C1500 climate control","30%","80"
"1996 Dodge Ram 1500 climate control","57%","86"
"1996 Ford E-250 Econoline climate control","124%","42"
"1996 Ford Mustang climate control","14%","25"
"1996 Honda Accord climate control","45%","37"
"1996 Honda Odyssey climate control","35%","6"
"1996 Jeep Grand Cherokee climate control","67%","64"
"1996 Mercury Grand Marquis climate control","61%","19"
"1996 Saturn SL2 climate control","6%","2"
"1996 Toyota Avalon climate control","41%","19"
"1996 Toyota Camry climate control","25%","17"
"1997 Chevrolet K1500 climate control","38%","121"
"1997 Chevrolet Tahoe climate control","40%","179"
"1997 Dodge Ram 1500 climate control","67%","104"
"1997 Ford Crown Victoria climate control","42%","25"
"1997 Ford Escort climate control","42%","5"
"1997 Ford Expedition climate control","34%","193"
"1997 Ford F-150 climate control","45%","282"
"1997 Honda Civic climate control","40%","94"
"1997 Jaguar XJ6 climate control","6%","8"
"1997 Jeep Grand Cherokee climate control","84%","54"
"1997 Lexus ES300 climate control","11%","8"
"1997 Mercury Cougar climate control","27%","3"
"1997 Nissan Altima climate control","4%","2"
"1997 Subaru Legacy climate control","69%","11"
"1997 Toyota Camry climate control","23%","38"
"1998 Buick Century climate control","78%","28"
"1998 Buick LeSabre climate control","83%","33"
